id,collection,field,type,interface,options,locked,validation,required,readonly,hidden_detail,hidden_browse,sort,width,group,note,translation
1,directus_activity,id,integer,primary-key,,1,,1,1,1,0,,4,,,
2,directus_activity,action,string,activity-icon,,1,,0,1,0,0,1,4,,,
3,directus_activity,collection,string,collections,,1,,0,1,0,0,2,2,,,
4,directus_activity,item,string,text-input,,1,,0,1,0,0,3,2,,,
5,directus_activity,action_by,integer,user,,1,,0,1,0,0,4,2,,,
6,directus_activity,action_on,datetime,datetime,"{""showRelative"":true}",1,,0,1,0,0,5,2,,,
7,directus_activity,edited_on,datetime,datetime,"{""showRelative"":true}",1,,0,1,0,0,6,2,,,
8,directus_activity,comment_deleted_on,datetime,datetime,"{""showRelative"":true}",1,,0,1,0,0,7,2,,,
9,directus_activity,ip,string,text-input,,1,,0,1,0,0,8,2,,,
10,directus_activity,user_agent,string,text-input,,1,,0,1,0,0,9,2,,,
11,directus_activity,comment,string,textarea,,1,,0,1,0,0,10,4,,,
12,directus_collection_presets,id,integer,primary-key,,1,,0,0,0,0,,4,,,
13,directus_collection_presets,title,string,text-input,,1,,0,0,0,0,,4,,,
14,directus_collection_presets,user,integer,user,,1,,0,0,0,0,,4,,,
15,directus_collection_presets,role,m2o,many-to-one,,1,,0,0,0,0,,4,,,
16,directus_collection_presets,collection,m2o,many-to-one,,1,,0,0,0,0,,4,,,
17,directus_collection_presets,search_query,string,text-input,,1,,0,0,0,0,,4,,,
18,directus_collection_presets,filters,json,code,,1,,0,0,0,0,,4,,,
19,directus_collection_presets,view_options,json,code,,1,,0,0,0,0,,4,,,
20,directus_collection_presets,view_type,string,text-input,,1,,0,0,0,0,,4,,,
21,directus_collection_presets,view_query,json,code,,1,,0,0,0,0,,4,,,
22,directus_collections,fields,o2m,one-to-many,,1,,0,0,1,1,1,4,,,
23,directus_collections,collection,string,primary-key,,1,,1,1,0,0,2,2,,,
24,directus_collections,note,string,text-input,,1,,0,0,0,0,3,2,,,
25,directus_collections,managed,boolean,toggle,,1,,0,0,0,0,4,1,,,
26,directus_collections,hidden,boolean,toggle,,1,,0,0,0,0,5,1,,,
27,directus_collections,single,boolean,toggle,,1,,0,0,0,0,6,1,,,
28,directus_collections,translation,json,code,,1,,0,0,1,0,7,4,,,
29,directus_collections,icon,string,icon,,1,,0,0,0,0,8,4,,,
30,directus_fields,id,integer,primary-key,,1,,1,0,1,0,,4,,,
31,directus_fields,collection,m2o,many-to-one,,1,,0,0,0,0,,4,,,
32,directus_fields,field,string,text-input,,1,,0,0,0,0,,4,,,
33,directus_fields,type,string,primary-key,,1,,0,0,0,0,,4,,,
34,directus_fields,interface,string,primary-key,,1,,0,0,0,0,,4,,,
35,directus_fields,options,json,code,,1,,0,0,0,0,,4,,,
